FIPS_numeric,avg_gini_2016,State,CountyName,avg_gini_1970,BndryChng,OMB_1993,cat-2016
01001,0.4088,AL,Autauga County,0.4037,0,0,2
01003,0.4472,AL,Baldwin County,0.4104,0,0,2
01005,0.4576,AL,Barbour County,0.4813,0,1,2
01007,0.4153,AL,Bibb County,0.4277,0,1,2
01009,0.4054,AL,Blount County,0.4107,0,0,2
01011,0.4784,AL,Bullock County,0.501,0,1,2
01013,0.4512,AL,Butler County,0.4549,0,1,2
01015,0.4382,AL,Calhoun County,0.4017,0,0,2
01017,0.4365,AL,Chambers County,0.4023,0,1,2
01019,0.4337,AL,Cherokee County,0.4014,0,1,2
01021,0.4282,AL,Chilton County,0.4472,0,1,2
01023,0.4769,AL,Choctaw County,0.4599,0,1,2
01025,0.5064,AL,Clarke County,0.4487,0,1,2
01027,0.4476,AL,Clay County,0.4272,0,1,2
01029,0.4454,AL,Cleburne County,0.3974,0,1,1
01031,0.4319,AL,Coffee County,0.4143,0,1,2
01033,0.425,AL,Colbert County,0.4066,0,0,2
01035,0.4647,AL,Conecuh County,0.4699,0,1,2
01037,0.429,AL,Coosa County,0.4022,0,1,2
01039,0.4488,AL,Covington County,0.429,0,1,2
01041,0.4641,AL,Crenshaw County,0.4734,0,1,2
01043,0.4428,AL,Cullman County,0.4099,0,1,2
01045,0.4469,AL,Dale County,0.3601,0,0,1
01047,0.5226,AL,Dallas County,0.4699,0,1,2
01049,0.4321,AL,DeKalb County,0.4486,0,1,2
01051,0.407,AL,Elmore County,0.4323,0,0,2
01053,0.479,AL,Escambia County,0.4347,0,1,2
01055,0.4393,AL,Etowah County,0.4087,0,0,2
01057,0.4517,AL,Fayette County,0.4468,0,1,2
01059,0.4357,AL,Franklin County,0.4274,0,1,2
01061,0.4455,AL,Geneva County,0.4365,0,1,2
01063,0.4952,AL,Greene County,0.5371,0,1,2
01065,0.4848,AL,Hale County,0.4962,0,1,2
01067,0.446,AL,Henry County,0.4553,0,1,2
01069,0.4668,AL,Houston County,0.4363,0,0,2
01071,0.451,AL,Jackson County,0.4172,0,1,2
01073,0.4733,AL,Jefferson County,0.4137,0,0,2
01075,0.4445,AL,Lamar County,0.4639,0,1,2
